Hotelling T2         	sum-squared residuals  	
 1.239155428471E+00  	 3.622472962073E+07    	
 4.170564744346E+00  	 2.044560050928E+06    	
 7.049896119010E+00  	 3.145596009797E+06    	
 3.275932405115E+01  	 3.894879244076E+07    	
 6.153936442044E-01  	 2.461139827949E+07    	
 8.489736994908E-02  	 2.995001698199E+06    	
 8.589282240582E-03  	 3.643277369294E+05    	
 5.214044164905E-01  	 3.611732096397E+05    	
 2.145347393318E+00  	 4.035147284026E+06    	
 3.602026805953E+01  	 1.029295724929E+08    	
 3.790458974006E+01  	 1.544426399880E+08    	
 3.369489240352E+00  	 1.430368876175E+07    	
 2.763221673919E-01  	 2.189305460252E+05    	
 6.103714972072E+00  	 1.528162567910E+07    	
 2.157026568728E-05  	 2.182880222247E+03    	
 1.359545488877E+02  	 1.124047054751E+08    	
 9.239899612976E+00  	 1.332338225067E+08    	
 1.591567717535E-04  	 6.049568403497E+03    	
 3.553167855807E-02  	 1.508396277568E+05    	
 2.164629714695E-05  	 1.181674495829E+03    	
 1.039280180874E+01  	 3.142332503482E+06    	
 1.585812190362E+01  	 1.981894369064E+07    	
 4.686525575291E+00  	 2.770028002354E+06    	
 3.818196182783E+00  	 5.570638740972E+06    	
 1.933521052224E-02  	 1.002628963473E+05    	
 2.442040678543E-02  	 7.024667121993E+04    	
 2.469208740458E-06  	 1.925243519754E+01    	
 3.484807109049E-04  	 4.986008031512E+03    	
 1.236052546595E-04  	 8.846546965706E+02    	
 8.385893333020E-05  	 3.380110821657E+03    	
 2.488525155490E-03  	 2.067085474772E+04    	
 6.285984594048E+01  	 3.309397479120E+08    	
 2.640009060532E+00  	 1.550942943589E+06    	
 8.425330703272E-01  	 5.087031421175E+06    	
 1.524315110524E+00  	 5.310780210527E+06    	
 1.425018065349E-02  	 3.199809398767E+04    	
 1.456014545956E-02  	 3.416382605977E+04    	
 1.576278259423E+00  	 2.855097064761E+06    	
 1.036809452216E+01  	 6.493312138441E+07    	
 2.585795579722E+01  	 1.658507615426E+08    	
 1.133476797165E+01  	 2.173281639297E+07    	
 3.564306484655E+00  	 1.103145939142E+07    	
 7.286909988953E+00  	 1.259609207122E+07    	
 7.585069846999E-05  	 2.595339054752E+03    	
 1.195669209495E-04  	 1.030086137290E+03    	
 6.852745393666E+01  	 2.174177801750E+07    	
 2.572530063513E-02  	 7.444440074316E+04    	
 1.941052196610E-02  	 2.810363470355E+04    	
 1.364193693850E-02  	 3.909498136611E+04    	
 1.216601146726E+01  	 2.167692076275E+07    	
 1.062918254077E-03  	 2.702400988659E+04    	
 1.253263696637E+00  	 4.122429632394E+06    	
 1.101923313035E+00  	 1.429625594631E+06    	
 5.314270748424E+01  	 1.890513855418E+08    	
 8.941817490339E+00  	 1.127984133387E+07    	
 1.028678981054E+00  	 8.265888312298E+05    	
 9.040479798498E-03  	 2.234383142862E+04    	
 1.948863625923E-04  	 2.925166601727E+03    	
 4.080987833408E+01  	 2.939379161096E+07    	
 1.020474917597E-03  	 1.176922110044E+04    	
 7.693706039900E+00  	 1.828727855659E+07    	
 1.245674561599E+02  	 6.383127274514E+07    	
 5.304724019943E+01  	 1.549429305657E+08    	
 5.091126412076E+00  	 9.771161141828E+06    	
 2.167635426712E+01  	 3.859346578670E+07    	
 8.171441339143E-04  	 6.424090095190E+03    	
 2.980426216863E-03  	 2.958990131881E+04    	
 7.613407311611E-05  	 4.616535311333E+03    	
 5.225244552628E-02  	 9.302694495163E+04    	
 3.098476540227E+00  	 1.964448277605E+06    	
 2.813014993288E-01  	 4.998926781917E+05    	
 5.967525799944E+01  	 7.996630253401E+07    	
